"filename", "language", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PreviewClose.js", "JavaScript", 29, 0, 0, 0, 2, 31
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PreviewOpen.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\RecicleIcon.js", "JavaScript", 38, 0, 0, 0, 2, 40
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\Reply.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SavedIcon.js", "JavaScript", 29, 0, 0, 0, 4, 33
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SearchIcon.js", "JavaScript", 35, 0, 0, 0, 4, 39
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SelectAll.js", "JavaScript", 29, 0, 0, 0, 1, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SettingIcon.js", "JavaScript", 22, 0, 0, 0, 2, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SmileIcon.js", "JavaScript", 34, 0, 0, 0, 2, 36
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SpeakerIcon.js", "JavaScript", 44, 0, 0, 0, 2, 46
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SunIcon.js", "JavaScript", 48, 0, 0, 0, 2, 50
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\VolumeMuteIcon.js", "JavaScript", 42, 0, 0, 0, 2, 44
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\VolumeOnIcon.js", "JavaScript", 27, 0, 0, 0, 2, 29
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\InfoContainer.js", "JavaScript", 90, 0, 0, 0, 6, 96
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\MuteSwitch.js", "JavaScript", 34, 0, 0, 0, 5, 39
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\RightMenu.js", "JavaScript", 128, 0, 0, 0, 14, 142
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\RightMenuButton.js", "JavaScript", 31, 0, 0, 1, 8, 40
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MainPage.js", "JavaScript", 120, 0, 0, 8, 19, 147
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\ClearContainer.js", "JavaScript", 6, 0, 0, 0, 1, 7
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\InfoBlock.js", "JavaScript", 53, 0, 0, 1, 4, 58
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\InputPanel.js", "JavaScript", 122, 0, 0, 69, 18, 209
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MainChat.js", "JavaScript", 116, 0, 0, 0, 15, 131
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\Message.js", "JavaScript", 91, 0, 0, 0, 19, 110
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MessageContainer.js", "JavaScript", 90, 0, 0, 0, 7, 97
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MessageContextMenu.js", "JavaScript", 130, 0, 0, 2, 19, 151
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MessageHeader.js", "JavaScript", 37, 0, 0, 0, 5, 42
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MessageIn.js", "JavaScript", 63, 0, 0, 3, 12, 78
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MessageOut.js", "JavaScript", 47, 0, 0, 2, 5, 54
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MessageTools.js", "JavaScript", 16, 0, 0, 0, 8, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\PinnedMessage.js", "JavaScript", 66, 0, 0, 0, 12, 78
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\SavedMessages.js", "JavaScript", 17, 0, 0, 0, 4, 21
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\About.js", "JavaScript", 71, 0, 0, 0, 2, 73
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\AddMembers.js", "JavaScript", 86, 0, 0, 1, 10, 97
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\AddNewChat.js", "JavaScript", 81, 0, 0, 60, 18, 159
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\AddNewMessage.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ChatCard.js", "JavaScript", 37, 0, 0, 0, 17, 54
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ChatCardContextMenu.js", "JavaScript", 39, 0, 0, 0, 4, 43
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ChatCreateButton.js", "JavaScript", 59, 0, 0, 0, 8, 67
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ChatListContextMenu.js", "JavaScript", 181, 0, 0, 0, 17, 198
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\CollumnContainer.js", "JavaScript", 214, 0, 0, 0, 35, 249
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ContactWindow.js", "JavaScript", 36, 0, 0, 0, 11, 47
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ContactsCard.js", "JavaScript", 90, 0, 0, 0, 11, 101
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ContactsContextMenu.js", "JavaScript", 92, 0, 0, 1, 9, 102
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\CreateMenu.js", "JavaScript", 51, 0, 0, 0, 11, 62
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\EditProfile.js", "JavaScript", 119, 0, 0, 14, 19, 152
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\LastSeen.js", "JavaScript", 28, 0, 0, 0, 2, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\LeftHeader.js", "JavaScript", 19, 0, 0, 0, 4, 23
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\LeftMenu.js", "JavaScript", 83, 0, 0, 0, 3, 86
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\MenuButton.js", "JavaScript", 45, 0, 0, 0, 8, 53
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\RadioChatList.js", "JavaScript", 30, 0, 0, 0, 13, 43
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\RadioElement.js", "JavaScript", 136, 0, 0, 2, 26, 164
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ReportBug.js", "JavaScript", 128, 0, 0, 0, 8, 136
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\SearchInputInActive.js", "JavaScript", 19, 0, 0, 0, 4, 23
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\SearchWindow.js", "JavaScript", 101, 0, 0, 0, 12, 113
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\SerchInput.js", "JavaScript", 50, 0, 0, 0, 8, 58
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\SettingWindow.js", "JavaScript", 95, 0, 0, 0, 13, 108
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\StartPrivate.js", "JavaScript", 51, 0, 0, 0, 10, 61
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\SideBar\ThemeSwitch.js", "JavaScript", 26, 0, 0, 0, 4, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\authService.js", "JavaScript", 88, 0, 0, 7, 14, 109
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\axiosCreate.js", "JavaScript", 4, 0, 0, 0, 2, 6
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\bugReportService.js", "JavaScript", 19, 0, 0, 1, 4, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\chatServices.js", "JavaScript", 184, 0, 0, 9, 19, 212
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\contactServices.js", "JavaScript", 93, 0, 0, 4, 11, 108
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\messageServices.js", "JavaScript", 138, 0, 0, 6, 21, 165
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\searchServices.js", "JavaScript", 23, 0, 0, 1, 4, 28
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\tokenServices.js", "JavaScript", 35, 0, 0, 0, 10, 45
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\userLogout.js", "JavaScript", 22, 0, 0, 1, 5, 28
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Services\userServices.js", "JavaScript", 65, 0, 0, 4, 14, 83
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\index.css", "PostCSS", 0, 67, 0, 1, 12, 80
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\index.js", "JavaScript", 11, 0, 0, 0, 2, 13
"Total", "-", 6250, 67, 17, 206, 789, 7329
